pred_name,csv_model,alpha,bandwidth_km,precision_at_10,recall_at_10,ndcg_at_10,delta_ndcg,base_ndcg
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,10.0,0.1177,0.1177,0.0624,0.0036,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,10.0,0.1247,0.1247,0.066,0.0072,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,10.0,0.1316,0.1316,0.0696,0.0108,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,10.0,0.1357,0.1357,0.072,0.0132,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,10.0,0.138,0.138,0.0732,0.0144,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,10.0,0.1384,0.1384,0.0734,0.0146,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,10.0,0.1386,0.1386,0.0734,0.0146,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,20.0,0.1176,0.1176,0.0622,0.0034,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,20.0,0.1242,0.1242,0.0657,0.0069,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,20.0,0.1307,0.1307,0.069,0.0102,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,20.0,0.1355,0.1355,0.0716,0.0128,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,20.0,0.138,0.138,0.0727,0.0139,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,20.0,0.1388,0.1388,0.0734,0.0146,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,20.0,0.1389,0.1389,0.0735,0.0147,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,50.0,0.1171,0.1171,0.062,0.0032,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,50.0,0.1231,0.1231,0.0651,0.0063,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,50.0,0.1291,0.1291,0.068,0.0092,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,50.0,0.1334,0.1334,0.0702,0.0114,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,50.0,0.1362,0.1362,0.0715,0.0127,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,50.0,0.1376,0.1376,0.0723,0.0135,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,50.0,0.1385,0.1385,0.0729,0.0141,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,5.0,0.0707,0.0707,0.0374,0.0029,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,5.0,0.077,0.077,0.0408,0.0063,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,5.0,0.084,0.084,0.0446,0.0101,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,5.0,0.0897,0.0897,0.048,0.0135,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,5.0,0.0928,0.0928,0.0501,0.0156,0.0345
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,5.0,0.0943,0.0943,0.0508,0.0163,0.0345
