timestamp,model,variant,precision_at_10,recall_at_10,ndcg_at_10,epochs,emb_dim,n_layers,skip_groups,notes
2026-04-25 23:53:04,KGAT,all features +spatial_cbg,0.0123,0.1235,0.0652,300,2048,4,,CBG spatial k=5
2026-04-25 23:53:25,KGAT,skip llm +spatial_cbg,0.0123,0.1229,0.0648,300,2048,4,llm,CBG spatial k=5
2026-04-25 23:58:27,KGAT,all features +proximity,0.1360,0.1360,0.0714,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 23:59:41,KGAT,skip llm +proximity,0.1353,0.1353,0.0710,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-26 00:40:35,HEK-CL,c=0.729 q=0.001 lam=0.5,0.0079,0.0788,0.0406,300,512,6,,
2026-04-26 00:44:51,IFL-GCL-KG,all features,0.0062,0.0619,0.0319,300,2048,4,,beta=1.0 top_k_item=20 thr_user=0.85 warmup=0 item_pairs=364030 user_pairs=2319889
2026-04-26 00:52:27,IFL-GCL-KG,all features +proximity,0.0869,0.0869,0.0448,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-26 08:15:15,HEK-CL,all features +proximity,0.0994,0.0994,0.0517,0,512,6,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-26 09:01:30,KGAT-SAL,all features T=3 no_spatial,0.0114,0.1136,0.0602,300,2048,4,,T=3 d_temp=256 d_sal=32 λ_sal=1e-06 kg_layers=2
2026-04-26 09:08:17,KGAT-SAL,all features +proximity,0.1321,0.1321,0.0699,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-26 09:29:25,KGAT,all features +proximity,0.1382,0.1382,0.0727,0,2048,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-04-26 09:29:27,RaDAR,all features +proximity,0.1277,0.1277,0.0676,0,2048,4,,proximity_reranked alpha=0.7 bw=10.0km top_k=50
2026-04-26 09:29:28,KGAT-SAL,all features +proximity,0.1388,0.1388,0.0734,0,2048,4,,proximity_reranked alpha=0.6 bw=10.0km top_k=50
2026-04-26 09:29:30,InfoNCE,skip llm +proximity,0.1219,0.1219,0.0622,0,2048,4,llm,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-04-26 09:29:31,LightGCN,all features +proximity,0.1100,0.1100,0.0561,0,2048,3,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-04-26 11:44:33,InfoNCE,all features,0.0123,0.1230,0.0631,300,2048,4,,
2026-04-26 12:11:21,InfoNCE-KGAT-SAL,all features T=3 no_spatial,0.0111,0.1107,0.0588,300,2048,4,,T=3 d_temp=256 d_sal=32 λ_sal=1e-06 λ_cl=0.10 cl_temp=0.15 cl_aug_dr=0.2 kg_layers=2
2026-04-26 12:17:47,InfoNCE,all features +proximity,0.1301,0.1301,0.0671,0,2048,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-04-26 12:17:48,InfoNCE-KGAT-SAL,all features T=3 +proximity,0.1389,0.1389,0.0735,0,2048,4,,proximity_reranked alpha=0.7 bw=20.0km top_k=50
2026-04-28 20:35:19,KGAT,all features +spatial_cbg,0.0074,0.0743,0.0392,300,1024,4,,CBG spatial k=5
2026-04-28 20:59:47,InfoNCE-KGAT-SAL,all features T=3 no_spatial,0.0065,0.0653,0.0345,300,1024,4,,T=3 d_temp=256 d_sal=32 λ_sal=1e-06 λ_cl=0.10 cl_temp=0.15 cl_aug_dr=0.2 kg_layers=2
2026-04-28 21:58:29,RaDAR,all features,0.0050,0.0503,0.0263,300,1024,4,,
2026-04-28 22:22:41,KGAT-SAL,all features T=3 no_spatial,0.0067,0.0665,0.0352,300,1024,4,,T=3 d_temp=256 d_sal=32 λ_sal=1e-06 kg_layers=2
2026-04-28 23:24:26,InfoNCE,all features,0.0094,0.0938,0.0479,300,1024,4,,
2026-04-28 23:34:35,InfoNCE-KGAT-SAL,all features T=3 +proximity,0.0956,0.0956,0.0511,0,1024,4,,proximity_reranked alpha=0.7 bw=20.0km top_k=50
2026-04-28 23:34:38,KGAT,all features +proximity,0.0915,0.0915,0.0479,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-04-28 23:34:40,KGAT-SAL,all features T=3 +proximity,0.0945,0.0945,0.0506,0,1024,4,,proximity_reranked alpha=0.6 bw=10.0km top_k=50
2026-04-28 23:34:42,RaDAR,all features +proximity,0.0785,0.0785,0.0427,0,1024,4,,proximity_reranked alpha=0.7 bw=10.0km top_k=50
2026-04-28 23:34:45,InfoNCE,all features +proximity,0.1021,0.1021,0.0523,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-02 14:27:23,InfoNCE-KGAT-SAL,all features T=3 +proximity,0.0956,0.0956,0.0511,0,1024,4,,proximity_reranked alpha=0.7 bw=20.0km top_k=50
2026-05-02 14:27:25,KGAT,all features +proximity,0.0915,0.0915,0.0479,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-02 14:27:28,KGAT-SAL,all features T=3 +proximity,0.0945,0.0945,0.0506,0,1024,4,,proximity_reranked alpha=0.6 bw=10.0km top_k=50
2026-05-02 14:27:30,RaDAR,all features +proximity,0.0785,0.0785,0.0427,0,1024,4,,proximity_reranked alpha=0.7 bw=10.0km top_k=50
2026-05-02 14:27:32,InfoNCE,all features +proximity,0.1021,0.1021,0.0523,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-02 21:42:50,InfoNCE-KGAT-SAL,all features T=3 +proximity,0.0956,0.0956,0.0511,0,1024,4,,proximity_reranked alpha=0.7 bw=20.0km top_k=50
2026-05-02 21:42:52,KGAT,all features +proximity,0.0915,0.0915,0.0479,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-02 21:42:54,KGAT-SAL,all features T=3 +proximity,0.0945,0.0945,0.0506,0,1024,4,,proximity_reranked alpha=0.6 bw=10.0km top_k=50
2026-05-02 21:42:57,RaDAR,all features +proximity,0.0785,0.0785,0.0427,0,1024,4,,proximity_reranked alpha=0.7 bw=10.0km top_k=50
