timestamp,run_id,model,variant,epoch,recall_at_10
2026-05-03 01:49:07,20260503_011940,KGAT-SAL,all features T=3,100,0.0094
2026-05-03 02:03:37,20260503_011940,KGAT-SAL,all features T=3,150,0.0167
2026-05-03 02:03:39,20260503_011940,KGAT-SAL,all features T=3,150,0.0167
2026-05-03 02:18:08,20260503_011940,KGAT-SAL,all features T=3,200,0.0217
2026-05-03 02:18:09,20260503_011940,KGAT-SAL,all features T=3,200,0.0217
2026-05-03 02:32:39,20260503_011940,KGAT-SAL,all features T=3,250,0.0241
2026-05-03 02:32:41,20260503_011940,KGAT-SAL,all features T=3,250,0.0240
2026-05-03 02:47:12,20260503_011940,KGAT-SAL,all features T=3,300,0.0252
2026-05-03 02:47:13,20260503_011940,KGAT-SAL,all features T=3,300,0.0252
2026-06-08 09:22:18,20260608_092017,KGAT,all features +spatial_cbg,1,0.0020
2026-06-08 09:28:01,20260608_092600,KGAT,all features +spatial_cbg,1,0.0021
2026-06-08 09:34:09,20260608_093001,KGAT,all features no_spatial,50,0.0862
2026-06-08 09:34:09,20260608_093001,KGAT,all features no_spatial,50,0.0859
2026-06-08 09:36:55,20260608_093001,KGAT,all features no_spatial,100,0.1310
2026-06-08 09:36:55,20260608_093001,KGAT,all features no_spatial,100,0.1319
2026-06-08 09:39:41,20260608_093001,KGAT,all features no_spatial,150,0.1415
2026-06-08 09:39:42,20260608_093001,KGAT,all features no_spatial,150,0.1414
2026-06-08 09:42:24,20260608_093001,KGAT,all features no_spatial,200,0.1440
2026-06-08 09:42:26,20260608_093001,KGAT,all features no_spatial,200,0.1436
2026-06-08 09:45:07,20260608_093001,KGAT,all features no_spatial,250,0.1438
2026-06-08 09:45:09,20260608_093001,KGAT,all features no_spatial,250,0.1435
2026-06-08 09:47:50,20260608_093001,KGAT,all features no_spatial,300,0.1433
2026-06-08 09:47:51,20260608_093001,KGAT,all features no_spatial,300,0.1432
2026-06-08 09:53:02,20260608_094855,KGAT,all features no_spatial,50,0.0872
2026-06-08 09:53:04,20260608_094855,KGAT,all features no_spatial,50,0.0826
2026-06-08 09:55:43,20260608_094855,KGAT,all features no_spatial,100,0.1310
2026-06-08 09:55:46,20260608_094855,KGAT,all features no_spatial,100,0.1310
2026-06-08 09:58:25,20260608_094855,KGAT,all features no_spatial,150,0.1410
2026-06-08 09:58:27,20260608_094855,KGAT,all features no_spatial,150,0.1411
2026-06-08 10:01:06,20260608_094855,KGAT,all features no_spatial,200,0.1440
2026-06-08 10:01:10,20260608_094855,KGAT,all features no_spatial,200,0.1433
2026-06-08 10:03:51,20260608_094855,KGAT,all features no_spatial,250,0.1436
2026-06-08 10:03:58,20260608_094855,KGAT,all features no_spatial,250,0.1432
2026-06-08 10:06:37,20260608_094855,KGAT,all features no_spatial,300,0.1435
2026-06-08 10:06:48,20260608_094855,KGAT,all features no_spatial,300,0.1432
